stemmed_review,label
shopee tolong balikin jnt paket kalo pake jne lot bgt tgl mentok mulu bekas udh bener pake jnt aja spx yg mantep jnt yg depak anehhh coba deh liat yg viral shop biar tau customer suka yg,negatif
ongkir mahal doang,positif
guna,positif
barang pilih mudah cari pokok bantu banget,positif
oke moga apk nya top voucher nya,positif
bagus,positif
apk bagus,positif
bagus mantap cocok gambar,positif
bagus anti gagal promo anti ongkir,positif
aplikasi ga tipu jelas proses gitu aja ga tindak aplikasi ga,negatif
bug kait estimasi antar next baik,positif
muas,positif
pake shopee muas bgt,positif
mantap,positif
moga baik penggunax,netral
halo shopee kecewa cecout cod pesan and produk lai mohon bantu solusi gimna tuh,positif
mantaf,positif
aplikasi bantu butuh hari,positif
semenjak belanja shopee hemat ratus ribu butuh hari terimakasih shopee,positif
god online shop shopee,positif
puas blenja,positif
oke,positif
shopee bantu belanja online,positif
bagus,positif
mudah an jua amanah jujur belanja pas sesuai pesan tetumakasih,positif
gak ambil tempat,netral
terima kasih,positif
kirim cepat bingung beli pc,positif
aplkasi nya baguss,positif
manfaat mudah,positif
diskon banyakinnn,positif
kurir,netral
mantap,positif
,negatif
is the best,positif
bagus percaya si ungu ksini ksana kembali dana nunggu cepat proses unggah video pakai pulsa tahan layan shoope,positif
shopee mantap gak kecewa belanja shopee joooos,positif
barang sesuai pesan yg cacat bagus twrima kkasih seller curriernya yg,positif
aplikasi gak cod nya guna aplikasi skrg gak semenjak gak cod nya,negatif
,positif
ok,positif
aplikasi shopee lahh baguss murah hargaa jangkau,positif
suka lot kirim pakai spx tgl kirim udah mesti mundur hari muas layan spx,negatif
belanja cepat mudah,positif
expedisi ya,positif
belanja,positif
good job,positif
bagus,positif
mantul,positif
bagus bangettt murah murah apk voucher nya,positif
,positif
bagus,netral
i love shopee,positif
oke harga sesuai produk kualitas,positif
keren,positif
kirim,positif
mudah,positif
bayar seabank download jafdi playstor nyelesaiin doownload bayat,positif
alhamdulillah barang bagus murah discount t o p,positif
lot,negatif
moga jaya,positif
bagus,positif
belanja online mudah shopee,positif
bagus suka,positif
keren dah,positif
retur barang yg harga atas jt proses nya lambat udah minggu dana kembali ngatasin aja ga kelar banget pikir yg belanja aplikasi oren,negatif
barang nya bagus kurir nya,positif
bantu,positif
bagus pesan,positif
kirim barang pas barang sesuai dgn pesan,positif
bagus,positif
kirim lelet kirim cepat j t,negatif
affilied shopee komisi nya masyaallah mlah banyak gda komisi nya nol hati pindah lain hati,negatif
mantap,positif
layan bagus,positif
good,positif
yg butuh tinggal klik shopee,positif
ya barang sesuai,positif
bagus,positif
mantap layan cepat akurat,positif
oke,positif
lumayan,positif
aplikasi bagus,positif
amana,positif
aplikasi mantap antar tdk jne jnt antar yg skrg buruk skali barang gagal d retur alas yg,positif
bonus gratis ongkir suka,positif
shopee kurir sopan,positif
bagus,positif
shopi banget,positif
nang cepat santun trimakasih,positif
puas belanja shopee,positif
akun paylater nonaktif ga alas pakai tahun skrang ga d,negatif
mantap lengkap,positif
bintang vuntuk shopee,positif
ok,positif
payah mesin capit ga beres ngabisin ngabisin koin,negatif
mantap,positif
bagus,positif
j t keluarin seller kecewa berat,negatif
amanah,positif
mantap,positif
always okay shopee,positif
hapus aja opsi shopeefood,negatif
bantu kala malas belanja pasar barang aplikasi jelajah pasar indonesia pakai shoope saran shoope toko bayang majang shoope tipu,positif
ok dehh,positif
kali pesan miss route gilir ngerefund uang proses nya,negatif
tetap amanah,positif
kecewa jasa kirim j t nya hapus soalanya kalo desa tuju j t,positif
mantap,positif
good,positif
sopee mantap akses transaksi belanja mudah,positif
keren aja fitur mudah banget voucher discount nya shop efood gaperna pusing mikirin harga mahal goodjob,positif
lumayan,positif
cocok,negatif
puassss shoope,positif
pokok nggk belanja dishope kembali sulit tolak mulu bukti tolak tolong periksa mata admin shope min min coustemer mengalamai kendala selesai nya,negatif
bagus,positif
sukaa bgtt apk ini seringg gratis ongkir pokonyaa cintaa bgttt,positif
good,positif
jasa kirim spx lot banget gak kayak jnt cepat,negatif
barang sesuai kirim lacak pemberitahuan kirim kurir top,positif
aplikasi gak beli muncul tulis halaman sedia,negatif
mudah belanja g ribet duduk manis pilih barang yg sesuai dompet,positif
bagus aj si kl kt ku,positif
,positif
pilih voucer,positif
good job,positif
layan muas tp yg baik,positif
spaylater masalah ya maret kemarin suruh coba aktif april aktif pas pake spaylater masalah spaylater nya suruh mei aktif tulis spaylater maaf beri pinjam sila coba mei mohon arah shopee biar kecewak,negatif
mudah belanja antar rumah jual ramah amanah toko kurir ramah ongkir sesuai,positif
sedia layan tipu bijak buruk rugi rame uninstal,negatif
alhamdulillah sy suka shopee klu pesan sy yg tdk sesuai langsung bijak dri shopee mksh shopee depan moga sukses lancar aminnnnn,positif
muas,positif
buka postingan barang halaman sedia jaring full arah halaman utama,negatif
apk gk gk sesuai estimasi nya,negatif
belanja mudah murah anti ribet lope u shopee,positif
pokoe mantab,positif
mala kirim masak beli kirim minggu sih emang gak solusi atas kirim,positif
bagus,positif
kirim lambat kayak siput mati kirim kota aja ga jadwal berangkat lambat gara gara nungguin paket shopee kirim spx,negatif
aman amanah belanja shopee,positif
skrg bnyk kurir yg gk jujur pesan blm terima tpi apl sdh terima padhl barang blm tuju,netral
member platinum biasa pakai jnt pakai spx sampai payah banget asli lihat kalo lelet tutup akun opsi baik,negatif
bagus alangkah bagus nama dishopee profil tambah nama jual beli mes terima kasih,positif
bagus,positif
proses kembali barang adil merugilan seller,negatif
aplikasi baguss suka,positif
bantu butuh belanja,positif
bagus sih tpi kulir nya gk rama,netral
bagus,positif
bagus tambah belanja shopee,positif
bagus,positif
shope emang luarbiasa,positif
suka banget belanja shopee pas pesan terimakasih shopee,positif
ok muas,positif
bantu karna daera pencil aplikasi mantap sukses lalau,positif
mantap shopee,netral
shopee pas belanja butuh serba lengkap harga murah jangkau masyarakat indonesia,positif
knp buka langsung nyala vidio live nya bikin lot,negatif
keren,positif
aplikasi ga gua mesan paket kirim gagal jdi batalin gua mesan tu paket sblm lebaran,negatif
puas banget mudah belanja butuh keluarga pribadi trimakasih shopee,positif
belanja mudah,positif
puas,positif
shope tlong aplikasi nya bagus lg nyari baca nya halaman sedia trus gmna check out klo kya gtu pdhal udh update kya gtu tlong cpat baik check out ga nih muter ajh gmna si pas update layan aplikasi nya jelek kesel jdi nya,negatif
bagus,positif
good marketplace,positif
puas karna pakai jasa jnt skrng kirim lama benci alih tiktok cepat percaya,negatif
moga allah jadi bebas haram allah jual beli,positif
j t expedisi baik j t teman shopee aja langsung out j t marketplace lu moga marketplace lu bangkrut amiiinn j t kenal ramah gercep spx banget jawa barat jakarta j t cuman doang pakai reguler std jugak yuk pindah tiktok shop aja pindah tiktokshop,negatif
min adain fitur nomer whatsapp kurir,negatif
bagus,positif
cepat kirim paket,positif
yh,positif
shopee mmng baik,positif
layan muas,positif
discon,positif
mending kemarin lancar,positif
,positif
mantap,positif
mantab,positif
pilih spx kirim kurir krna antar bawa shoope suka hati ubah jadwal kirim,negatif
shopee jaya keren,positif
kirim cepat,positif
belanja online serba depan kualitas kualitas barang layan,positif
kesel barang kembali jual kembali dana cuman belanja rb,negatif
keren da bagus,positif
layan bagus profesional terima kasih mudah utk belanja,positif
checkout muncul tulis halaman masalah gimana sih udh update,negatif
belanja barang yg hrs d bayar cod d konfirmasi pd kembali barang harap kembali uang spx cengkareng selesai nya kurir pesan sich ga ya jd yg hati hati barang tdk pesan d bayar a n,negatif
apk dik butuh,positif
parah kirim bener bener kacau paket estimasi minggu paket co tgl april jakarta jalan sampe tolong baik sistem kirim nya,negatif
maaf ya shopee ngasih bintang suka ngelag mulu maaf ya,netral
sgt bgus si shopee skrg d penuh bonus coin yg tarik,positif
go od,positif
ok,positif
bintang aja,positif
yapsbagus,positif
keren,positif
good joob,positif
good aplication,positif
,positif
bagus,positif
bug halaman sedia,negatif
shopee is the best,positif
bagus hadiah iphone shopee sampe tanggal april,positif
pakai j t cepat sicepat nama aja sicepat asli lot,negatif
,netral
video shopnya langsung jalan lot aplikasi nya,positif
manja langgan,positif
brg ses pesan wkt kirim ses jadual tulis,positif
kadang promo delivery instan gratis kirim dr kota tracking jalan jd barang posisi mana,positif
terimakasih,positif
jual produk ori dibatasin puma nike jual kawean gak ruwet kaya negara pantes pabrik kabur banyak atur rb produk batas ratus,negatif
aplikasi brengsek pesan udh tunggu hari batal pdhal udh transfer bank kembali saldo shopepay gk,negatif
bagus,positif
bagus,positif
amanah alhamdulillah salah pesan,positif
hai bolak mengupdate shoope step ikut shoope halaman utama,netral
puas layan shopee,positif
suka shopee rena diskon gerat ongkir,positif
okay mntap,positif
ad ap sih sm sopi ktika sy buka spaylat g bs dbuka yh trs co jg lelet it knpa pdhl udh update udh pke wifi udh pke data ttep g bsa cba saran y in gmna,positif
mantaps,positif
belanja butuh hari bagus,positif
mudah belanja,positif
shopee emang keren,positif
oke,positif
shoping j lbh praktis,positif
bagus,positif
shopee barang barang lengkap kurir,positif
masalah cek produk muncul halaman sedia kayak gin mah tinggal pindah toko belah aja koneksi internet bagus buka apps lancar aja pas cek produk shopee nggak nggak rekomen sih ni shopee bug nya,negatif
mntap pokokny mah,positif
good life,positif
pesan instant shoppe pakai spx salah kirim donk instant sameday nya pesan dal antar tindak lamban lemah kurir jg gak pny tanggung,negatif
tarik,positif
bagus,positif
shopee kren kerjasamanya,positif
paket yg batal trus seller toko nya yg salah kurir yg kena dampak buruk nya akun guna shope gak cod,netral
ngk jls,positif
mantap bgt sih shopee tp sayang jual jual yg dikatain barang sesuai gambar tp pas gambar tolong kpd shopee perhati jual kaya gtu,netral
barang murah murah kualitas,positif
shopee tawar alam belanja online cepat murah juta guna hari guna jual beli aman nikmat tawar fitur baik belanja online produk lokal no temu agam produk lokal baik shopee bebas ongkir indonesia interaksi lihat langsung produk f,positif
cod,netral
baik,positif
donlot lazada enak shopee,positif
aplikasi mantap,positif
k biaya tangan sopee mahal y harusny gratis ongkir biaya tangan murah lho,positif
beli shopeefood dpt bug makan udh dicancel duit ga mantapppppp,positif
shopee i lope youuuurr jual yg verifikasi efek korban dagang fake ol shop,positif
,positif
barang yg cari aplikasi mudah,positif
layan shopee bagus,positif
bantu,positif
bagus,positif
shopee payah kirim super lelet ga satset kayak dlu pindah tiktok tokped aja,negatif
mudah belanja online,positif
bagus,positif
bantu,positif
barang nya sesuai nggak ribet kalo,positif
bagus berat bangett ngeleg kdang sampe sendiri,positif
neng belanja shoppe barang bgus sesuai,positif
belanja shopee aja,negatif
ya shopee nya da bagus cepat respon cuman jual yg gak amanah,positif
bagus banget percaya kalo beli hape ga tau,positif
alhamdulillah belanja shopee sll muas,positif
bagus,positif
ok,positif
ok,positif
shopee tindak profesional marketplace percaya,positif
belanja online sesuai kantong bebas pilih n tenaga buang n keluarin uang bensin barang anterin shopee bintang mu,positif
bagus,positif
shopee sangan batu sayang kadang barang yg g sesuai gambar yg diposting harap baik trs toko toko klu jual lan tu yg amanah klu barang g sesuai gambar harap g kirim,positif
,positif
pesan dah dc dekat alamat paket dc kota jual kayak gin estimasi tiba tanggal tanggal paketny,negatif
sen barang batalin shopee nya beli barang nya mahal gak banget batalin,negatif
baik,positif
check,negatif
akun nonaktif cod gitu aja cuman tolak paket dompet kirim udah telat kaga kirim toko alhasil beli toko owner kaga amanah aja lindung gilir coustumer kaga respon,negatif
barang sesuai dg pesan,positif
alhamdulillah beli cod banyak lancar yg hujan watu mesti tdk vocer shopee,positif
ok,positif
shopee layan yg,positif
puas shopee,positif
butuh bunos,netral
tolong iklan nya,negatif
bantu,positif
kak buka beranda belanja muncul halaman sedia baca muat ulang si jd kesel,positif
bagus beli barang makan,positif
jooos,positif
trims shopee,positif
suka,positif
aplikasi terlopelope,positif
mantap jos,positif
good seller,positif
bagus sih bintang kali pesan barang barang nggak nyampe kembali jual garansi udh nunggu barang aja nggak kembali jual,netral
suka co shopee,positif
suka aplikasi,positif
biar bintang,positif
mantap jiwa,positif
kwalitas barang shapi bagus yg laen,positif
aplikasi ckp bagus tolong banyakin gratis ongkir nya,positif
senang belanja shopee tinggal pilih chek out nunggu bang kurir ngantar barang lemah barang pajang orang toko sesuai kirim,positif
,positif
respon,positif
keranjang ngebug pas buka barang udah kasih keranjang gak menu utama perbaikin,negatif
pilih expedisi nya paku spx kembali apk shopee mode bebas pilih ekspedisi ribet yasudah auto hapus apk nya see u shopee,negatif
prasaan bayar ga telat bayar tpi knapa mslah sbaliknya aju tolak udah gitu limit,negatif
