username,rating,review,date
Singgih Adhitya,5,bagus,2025-04-06 09:56:11
eka Suripno254,5,shopi aku banget..,2025-04-06 09:56:06
Hidayat Dayat,5,"Penangan masalah yang terjadi,cepat dan santun,trimakasih..",2025-04-06 09:55:31
dedy setiadi,5,Selalu puas belanja di shopee,2025-04-06 09:54:37
Korobi,1,"akun paylater di nonaktifkan, ga jelas alasannya apa. padahal pakai bertahun tahun Skrang ga bisa d gunakan",2025-04-06 09:54:31
HONDA INTERNUSA TANJUNG BUNGA MAKASAR,5,mantap segala sesuatu paling lengkap disini,2025-04-06 09:53:59
Ihsan Paggama,5,bintang 5vuntuk shopee,2025-04-06 09:53:41
Eligius Rafael Clement,5,ok,2025-04-06 09:53:41
M Finza Syathir A,2,"payah mesin capit ga beres, ngabisin waktu, ngabisin koin",2025-04-06 09:52:46
zihrul fauzi,5,mantap,2025-04-06 09:52:44
Tomi Rb,5,bagus,2025-04-06 09:52:41
H A F I G I,1,"J&t malah di keluarin, saya sebagai seller, kecewa berat",2025-04-06 09:52:23
Isty Iwan,5,tepat waktu amanah,2025-04-06 09:51:35
Kamal Akhyar,5,mantap,2025-04-06 09:46:36
eliz halik,5,always okay shopee,2025-04-06 09:45:55
dhie 666,1,hapus aja opsi shopeefood...,2025-04-06 09:45:24
Bayu Aji,5,"Sangat membantu dikala malas belanja kepasar,semua barang ada di aplikasi ini, untuk menjelajah pasar se-Indonesia cukup pakai shoope.saran kepada shoope ada toko bayangan majang di shoope tapi penipu.",2025-04-06 09:44:52
Indah Listyani,5,ok dehh,2025-04-06 09:44:38
Dicky Fatahilah,1,"Sudah dua kali saya pesan Miss route , giliran ngerefund uang lama proses nya",2025-04-06 09:44:03
heryan Anto,5,tetaplah amanah,2025-04-06 09:43:25
Nandir Ae,4,kecewa jasa kirim j&t.nya dihapus.. soalanya kalo didesa yang sampai tujuan cuma j&t.,2025-04-06 09:43:06
Fahmi 123,5,mantap,2025-04-06 09:42:06
Sabda Pesona indonesia,5,Good,2025-04-06 09:41:57
supriyadi dedi,5,Sopee mantap akses dan transaksi belanjanya mudah,2025-04-06 09:40:55
Ayla Rilia,5,keren aja semua fitur bisa mempermudah kita dan banyak banget voucher discount nya apalagi ada shopèefood jadi gaperna pusing lagi mikirin harga kemahalan goodjob,2025-04-06 09:40:04
Nurul Rohman99,5,lumayan,2025-04-06 09:39:20
Ari Untung,1,sangat cocok,2025-04-06 09:38:12
Murita Rita,5,saya sangat puassss sekali dengan shoope,2025-04-06 09:37:42
Meysi Nurarhan ze,1,"pokoknya nggk"" lagi belanja dishope, pengembalian di persulit ditolak mulu, bukti padahal sudah jelas masih ditolak, tolong diperiksa matanya admin shope yang min itu, jangan karena min semua coustemer yang mengalamai kendala tidak ada penyelesaian nya?",2025-04-06 09:36:59
Noval,5,sangat bagus,2025-04-06 09:35:40
Ramadan Sabputra,5,sukaa bgtt sama apk inii seringg gratis ongkir pokonyaa cintaa bgttt🤍🤍🤍,2025-04-06 09:34:55
Tuty Indrianti,5,good,2025-04-06 09:34:46
ahmadroub em.,1,jasa kirim SPX lemot banget gak kayak JNT cepat,2025-04-06 09:33:37
Pande Suweca,5,"barang sesuai,pengiriman baik bisa dilacak dan pemberitahuan sebelum pengiriman.kurir top",2025-04-06 09:32:43
Zaki,1,aplikasi gak jelas setiap mau beli selalu muncul tulisan halaman tidak tersedia 😡😡,2025-04-06 09:32:34
Triono 07,5,lebih mudah belanja g ribet cukup duduk manis.bisa pilih barang yg sesuai dompet.,2025-04-06 09:31:39
Atika Atika,5,bagus aj si kl kt ku,2025-04-06 09:30:48
Heppy Wulandari,4,sangat baik,2025-04-06 09:30:30
Hardi “MUR i” Makmuri,5,banyak pilihan dan voucer,2025-04-06 09:30:12
Nurul Millatulazizah,5,good job,2025-04-06 09:29:25
Diba Nugroho,5,pelayanan memuaskan tp ada beberapa hal yg harus diperbaik,2025-04-06 09:28:59
Fiagus Panggabean18,1,"kenapa spaylater saya bermasalah terus ya, bulan Maret kemarin disuruh coba aktifkan lagi 06 April 2025. sudah saya aktifkan pas saya mau pake spaylater saya, tiba-tiba bermasalah lagi spaylater nya, di suruh bulan mei untuk mengaktifkan. tertulis di spaylater itu ""Maaf, saat ini kami tidak dapat memberikanmu pinjaman. Silakan coba lagi pada 07 Mei, 2025."" Mohon arahannya shopee🙏🙏🙏 biar jangan kecewak saya🙏",2025-04-06 09:28:39
Dyah ayu17,5,"sangat memudahkan belanja, diantar sampai rumah dan untuk penjual ramah dan amanah untuk beberapa toko, serta kurir juga ramah. ongkir bisa di sesuaikan",2025-04-06 09:28:25
afdhal Maesa,1,penyedia layanan penipuan juga banyak kebijakan buruk merugikan rame2 uninstal saja,2025-04-06 09:27:54
Ibu Juminah,5,alhamdulillah sy sangat menyukai shopee.klu ada pesanan sy yg tdk sesuai langsung ada kebijakan dri shopee....mksh shopee kedepannya semoga makin sukses dan lancar.... aminnnnn,2025-04-06 09:27:16
Rawing 888,5,memuaskan,2025-04-06 09:26:22
Aditya Virgo,2,"saat mau membuka postingan barang selalu saja tidak bisa, ""halaman tidak tersedia"". padahal jaringan full. selalu diarahkan untuk kembali kehalaman utama",2025-04-06 09:26:21
Surya Coy,1,apk GK jelas GK sesuai estimasi nya,2025-04-06 09:25:40
dio setiawan,5,"belanja mudah,murah,dan anti ribet lope u shopee😘😘",2025-04-06 09:25:19
Cahya Black,5,pokoe mantab,2025-04-06 09:23:42
Assoy 27,4,terlalu mala dalam pengiriman masak tempat belinya dekat tapi pengirimannya sampai satu minggu sih. emang gak ada solusi buat mengatasi pengiriman lama?,2025-04-06 09:22:59
Ariell Plus,5,bagus,2025-04-06 09:22:31
Uck Putra,1,pengiriman lambat kayak siput mati... masa pengiriman satu kota aja 4 hari ga sampai... jadwal keberangkatan saya jadi terlambat gara gara nungguin paket dari shopee pengiriman lewat spx....,2025-04-06 09:22:30
Iyan Arfian,5,aman & amanah belanja di shopee,2025-04-06 09:20:48
Satria Langit,3,"skrg bnyk kurir yg gk jujur. pesanan blm di terima, tpi di apl sdh di terima. padhl barang blm sampai ke tujuan.",2025-04-06 09:20:38
Eko Candra Dinata,1,Sebagai member platinum yang terbiasa pakai jnt pakai spx lama sekali sampainya payah banget asli lihat 1 bulan kalo masih lelet tutup akun mungkin opsi terbaik,2025-04-06 09:19:20
Hafiz Ansori Ansori,5,"sangat bagus,alangkah bagusnya untuk nama dishopee di profil itu tambahkan nama bapak,supaya untuk jual beli semakin lebih jelas yang memesan,terima kasih.",2025-04-06 09:15:25
Belvania Lituhayu,4,bagus,2025-04-06 09:15:04
Amanah Rufia,1,proses pengembalian barang tidak adil dan merugilan seller,2025-04-06 09:15:00
bsk dika,5,aplikasi yang sangat baguss saya suka,2025-04-06 09:14:42
Muhamad Ahyar,4,Sangat membantu kebutuhan belanja dan lainnya,2025-04-06 09:14:36
made suprapte,3,bagus sih tpi kulir nya gk rama,2025-04-06 09:14:34
Warto 123,5,bagus,2025-04-06 09:14:27
fricro wahyu,5,bagus buat tambahan belanja di shopee,2025-04-06 09:14:18
Gung Arya,5,sejauh ini bagus,2025-04-06 09:13:49
Amat Yabani,5,Shope emang luarbiasa,2025-04-06 09:13:18
Raisya Amelia,5,"suka banget belanja di shopee, selalu pas dengan pesanan, terimakasih shopee",2025-04-06 09:13:14
Heri Hardiansyah,5,ok memuaskan👍,2025-04-06 09:12:47
Gil Danil,5,"sangat membantu, karna apa yang tidak ada di daera2 terpencil bisa juga kita dapat melalui aplikasi ini.. mantap, sukses selalau",2025-04-06 09:12:31
Bapak Wawan,3,mantap Shopee,2025-04-06 09:10:50
RR Water,5,Shopee memang pas buat belanja kebutuhan serba lengkap harga murah terjangkau masyarakat Indonesia.,2025-04-06 09:10:15
Sc Om,1,"knp tiap buka langsung nyala vidio live nya, bikin lemot...",2025-04-06 09:09:26
Ine Silvia,5,keren,2025-04-06 09:09:14
Oppo Oppo,1,aplikasi ga jelas gua mesan paket pengiriman gagal jdi di batalin padahal gua mesan tu paket sblm lebaran,2025-04-06 09:09:13
Ruskandi Rus,5,sangat puas banget sangat mudah buat belanja kebutuhan keluarga maupun pribadi trimakasih shopee,2025-04-06 09:09:04
Nadia Fanesa,5,belanja lebih mudah,2025-04-06 09:07:31
Agung Manabi,5,sangat sangat puas,2025-04-06 09:06:04
Sulis Sulis,2,"shope tlong dong aplikasi nya lebih bagus lg, masa saya nyari sesuatu bacaan nya halaman tidak tersedia trus. gmna saya mau check out klo kya gtu pdhal udh di update tapi masih kya gtu, tlong cpat di perbaiki, mau check out juga ga bisa nih muter ajh, gmna si pas di update pelayanan aplikasi nya malah jelek, kesel jdi nya",2025-04-06 09:04:44
Safara 21,5,bagus,2025-04-06 09:04:37
Whitsil Hadwin,5,good marketplace,2025-04-06 09:03:30
wija tau peddi,1,Dulu puas karna masih pakai jasa jnt tapi skrng pengiriman terlama benci sekali sudah beralih ke tiktok lebih cepat dan terpercaya,2025-04-06 09:02:05
Abu Adhi Sandi,5,semoga ALLAH jadikan lebih baik....dan bebas dari hal2 yang diharamkan ALLAH dalam jual beli,2025-04-06 09:00:40
Masali 156,1,"J&T expedisi terbaik ,10tahun J&T menemanimu(Shopee) tapi begitu aja kamu langsung out kan J&T dari marketplace lu? semoga marketplace lu bangkrut amiiinn, J&T terkenal ramah, baik dan gercep.... SPX lama banget Jawa barat-jakarta 4hari belum. sampai J&T cuman 1 hari doang padahal pakai reguler std jugak 😥 yuk pindah tiktok shop aja #pindah tiktokshop",2025-04-06 09:00:01
GILANG ADITYA DWI PRAYOGO,2,min adain dong fitur nomer WhatsApp kurir 🙏,2025-04-06 08:59:45
Teguh Sumanto,5,bagus,2025-04-06 08:58:19
Muhammad Zhafran,5,sangat cepat pengiriman paketnya,2025-04-06 08:58:17
Nailul Maghfiroh,5,yh begitulah baik,2025-04-06 08:58:02
Fadlanalimahfud As,5,shopee mmng terbaik✨,2025-04-06 08:57:21
Husnul Hotimah,5,pelayanan sangat memuaskan,2025-04-06 08:56:07
Hoza Alzafa,5,banyak discon,2025-04-06 08:55:50
M. Nur,5,"Sudah mending dari kemarin,sudah Lancar",2025-04-06 08:54:54
Diana Camelia,5,🤎,2025-04-06 08:54:20
Iyan Sasmita,5,mantap,2025-04-06 08:53:11
mashudi afandi (kampret),5,mantab,2025-04-06 08:51:27
Putri Rahayu,1,jangan pilih spx dalam pengiriman kurir krna pengantaran bawaan shoope sering sesuka hati mengubah jadwal pengiriman.,2025-04-06 08:50:56
Muh Irsyad,5,shopee semakin jaya dan keren,2025-04-06 08:49:47
Aisyah Anindya,5,kiriman cepat,2025-04-06 08:49:34
Henhen Suhendro,5,"Tempat belanja online serba ada dengan mengedepankan kualitas, baik kualitas barang begitupun pelayanannya.",2025-04-06 08:49:28
Fatimah Hlw,1,sangat kesel. barang sudah di kembalikan ke penjual...pengembalian dana cuman 5.000 sedangkan saya belanja 87.000rb,2025-04-06 08:49:19
NOPAL NOPAL,5,keren da bagus,2025-04-06 08:48:32
HardyYo,5,Pelayanan bagus...sangat profesional...Terima kasih sudah mempermudah kami utk belanja.,2025-04-06 08:47:44
Daim,2,setiap mau checkout kok muncul tulisan halaman bermasalah ini gimana sih padahal udh update,2025-04-06 08:47:38
Pecel lele camp java 67,2,tidak pernah belanja tapi ada barang yg hrs d bayar dengan COD dan ketika d konfirmasi pd hari sama untuk pengembalian barang dan berharap ada pengembalian uang dari pihak SPX Cengkareng tidak ada penyelesaian nya bahkan dari kurir pun ..kalau saja pesan sich mungkin ga masalah ya ....jd untuk yg lain berhati-hati kalau ada barang tdk pesan jangan d bayar walaupun a/n kita sendiri,2025-04-06 08:45:12
Tris Nowati,5,Apk menyedikan banyak kebutuhan,2025-04-06 08:44:58
Dimas Ardiansyah,1,"parah pengiriman bener bener kacau,paket estimasi bisa lebih dari 1 minggu,paket saya co tgl 1 april dan sampai hari ini masih di jakarta,belum jalan sampe hari ini tolong diperbaiki lagi sistem pengiriman nya",2025-04-06 08:43:57
Orlin Orlin,3,maaf ya shopee aku baru ngasih bintang 3 dulu soalnya aku suka ngelag mulu sekali lagi maaf ya 🙏,2025-04-06 08:42:56
Nur IkaWati,5,sgt bgus si shopee skrg d penuhi bonus2 coin yg menarik👍👍👍,2025-04-06 08:42:36
Mang sbk,4,go'od,2025-04-06 08:42:27
Ade Suparman,5,ok,2025-04-06 08:40:00
Amora Mesah,5,cukup bintang aja,2025-04-06 08:39:50
Nikes Nikes17,5,yapsbagus,2025-04-06 08:39:49
Unbind reper Bandit,5,keren,2025-04-06 08:39:04
Tiara Sarita Utami,5,good joob,2025-04-06 08:38:58
sulaiman mukti,5,good aplication,2025-04-06 08:38:08
Har starnight,5,👌👌👌,2025-04-06 08:35:57
alpin sanjaya pirsa,5,bagus,2025-04-06 08:35:24
Si Udenz,1,"Banyak bug, halaman tidak tersedia",2025-04-06 08:34:42
emil baleni,5,Shopee is the best,2025-04-06 08:31:12
Anisa Agustina,5,"sangat bagus, mau hadiah iPhone dong shopee yang sampe tanggal 20 april",2025-04-06 08:30:33
L E A F A,1,"pakai lagi J&T LEBIH CEPAT,DARI PADA SICEPAT (namanya aja sicepat aslinya lemot)",2025-04-06 08:30:18
Icuk Suryadi,3,❤️👍👍👍👍,2025-04-06 08:29:32
Edinur Ismulyanto,5,kalau bisa video shopnya jangan langsung jalan jadi lemot aplikasi nya,2025-04-06 08:29:06
mokhamad suudi,5,sangat memanjakan pelanggan,2025-04-06 08:28:08
aris yusuf,5,- brg ses pesanan. - wkt pengiriman ses jadual -tulisannya terlalu kecil.,2025-04-06 08:27:34
Merry Gotama,5,"kadang ada promo yang delivery instan gratis, tetapi kalau pengiriman dr luar kota terlalu lama dan tracking tidak jalan jd tidak mengetahui barang posisi dimana",2025-04-06 08:25:58
Aldias Sanjaya,5,Terimakasih,2025-04-06 08:24:41
IrwanAfd,1,"jual produk ori makin dibatasin. puma,nike jual kawean gak boleh..lama2 ruwet kaya negaranya pantes pabrik2 pada kabur kebanyakan aturan🐒🐒... dari 2rb produk sekarang dibatasi cuma seratus.",2025-04-06 08:24:19
Sofii Imron,1,"aplikasi brengsek ini,, pesanan udh ditunggu berhari"" malah dibatalkan secara sepihak... pdhal udh ditransfer lewat bank malah dikembalikan ke saldo shopepay dan GK bisa digunakan...",2025-04-06 08:23:47
Ciko Cik,5,bagus,2025-04-06 08:22:35
Nur Afifah,5,bagus,2025-04-06 08:20:55
Ifada alyssha Zaituna,5,"selalu amanah, alhamdulillah tidak pernah salah pesanannya🫶",2025-04-06 08:19:44
azka silviea,3,"hai saya sudah bolak balik mengupdate shoope saya dan segala step sudah saya ikuti akan tetapi shoope saya selalu meminta ""kembali kehalaman utama""",2025-04-06 08:19:36
Nurmia Sari Yuanita,5,kami sangat puas dengan pelayanan shopee,2025-04-06 08:19:36
Dela Cantik,5,"saya suka shopee kerena banyak diskon dan geratis ongkir,,",2025-04-06 08:18:59
Abdul Khadir,5,okay mntap,2025-04-06 08:18:46
Zidan Zil,5,"Ad ap sih sm sopi ,ktika sy buka spaylat g bs dbuka yh ,trs mau co jg lelet it knpa ,pdhl udh update,udh pke wifi udh pke data ttep g bsa,,,cba saran y in gmna",2025-04-06 08:16:35
juliansimamora,5,mantaps 👍🏻,2025-04-06 08:16:23
febrianaaa,5,"bisa buat belanja kebutuhan sehari hari, bagus",2025-04-06 08:15:39
Fauzi Muhammad,5,memudahkan ketika ingin berbelanja,2025-04-06 08:14:47
khadijah anun,5,shopee emang keren,2025-04-06 08:14:45
Sopar di,5,Oke,2025-04-06 08:14:18
Ruth Pasaribu,5,shoping j menjadi lbh praktis.....,2025-04-06 08:13:44
ikhsan komaruloh,4,bagus,2025-04-06 08:09:12
Armando,5,Shopee barang barangnya lengkap dan punya kurir sendiri...,2025-04-06 08:08:58
Ahmad (Googłe),1,"Benar-benar bermasalah! Masa setiap mau cek produk selalu muncul ""Halaman tidak tersedia"". Kalau kayak gini terus mah tinggal pindah ke toko sebelah aja. Padahal koneksi internet juga bagus, buka apps lain lancar aja, tapi pas mau cek produk di shopee malah nggak bisa. Lama-lama nggak rekomen sih ni Shopee, banyak bug nya",2025-04-06 08:08:23
Ridwan Nur,5,mntap pokokny mah,2025-04-06 08:08:11
Egiyana,5,good life,2025-04-06 08:07:58
Amanda Honjaya,1,"pesan instant di shoppe pakai Spx, salah kirim donk. Instant rasa sameday. bisa2nya ada pesanan lain dalan pengantaran saya. tindak lanjutnya lama lamban dan lemah. kurir2 jg gak pny tanggung jawab",2025-04-06 08:07:54
ALTAFUNNISA PUTRI,5,cukup baik dan menarik,2025-04-06 08:06:20
Uwep Saepudin,4,bagus,2025-04-06 08:05:51
Sultan Hisyam,5,shopee kren untuk kerjasamanya,2025-04-06 08:04:35
Pramono Bae,3,kenapa setiap paket yg batal trus kembali ke seller atau toko nya yg salah kurir tapi yg kena dampak buruk nya akun pengguna shope gak bisa buat cod lagi,2025-04-06 08:04:34
Ririn Supisto,5,agak ngk jls,2025-04-06 08:04:14
Yadi Sutaryadi,3,"mantap bgt sih shopee tp sayang banyak sekali penjual penjual yg tidak jelas,dikatain barang sesuai dengan gambar tp pas datang jauh dari gambar... tolong dong kpd pihak shopee supaya diperhatikan lagi sama penjual kaya gtu..",2025-04-06 08:03:05
MARSUDI BUS & TRUCK HINO,5,barang murah murah tapi berkualitas tinggi,2025-04-06 08:02:23
Achmad Firdaus,5,"Shopee menawarkan pengalaman belanja online yang lebih cepat, lebih murah bagi jutaan pengguna setiap harinya. Pengguna dapat melakukan jual beli dengan aman kapan pun dan di mana pun! Nikmati berbagai penawaran & fitur terbaik: - Tempat belanja online produk lokal no.1. Temukan beragam produk lokal terbaik di Shopee! - Bebas ongkir ke seluruh Indonesia - Interaksi & lihat langsung produk f",2025-04-06 08:02:12
Siska Rini,3,tidak bisa cod,2025-04-06 08:02:05
Nur Mawan,5,TERBAIK ❤️💯💯💯💯💯💯💯💯💯💯❤️👍👍👍👍👍,2025-04-06 08:01:05
Aslam Saman,5,donlot lah lazada lebih enak dari shopee.,2025-04-06 08:00:59
Alim Almazzani,5,aplikasi yang mantap,2025-04-06 08:00:49
Maliqalfaqih _1707,5,k kenapa Biaya penanganan di sopee lebih mahal y harusny kalau sudah gratis ongkir biaya penanganan murah lho 🧐🧐🧐🤔🤔,2025-04-06 07:59:21
Aliif Rahman Aqilla,5,"beli shopeefood dpt bug, makanan udh dicancel tapi duit ga balik. MANTAPPPPPP",2025-04-06 07:58:27
Aditya Bramastha Gibran 2 (ELANG HITAM KONSULTAN),5,Shopee I Lope youuuurr.. Penjual yg ada 99% terverifikasi baik. Efek korban pedagang fake di OL shop lain 🤣🤣🤣👍👍👍,2025-04-06 07:58:03
Shafa Rafila,5,baik,2025-04-06 07:57:56
AgungBN Chanel,5,Semua barang yg dicari ada. Aplikasi mudah digunakan,2025-04-06 07:56:06
Yuni Safitri,4,pelayanan Shopee bagus,2025-04-06 07:53:46
Tini Agustini Rusdi,5,sangat membantu,2025-04-06 07:52:53
Wandi Riswandi,5,Bagus,2025-04-06 07:52:21
Reza Firmansyah,1,"Shopee payah pengiriman super lelet sekarang, ga satset kayak dlu. pindah tiktok tokped ajalah",2025-04-06 07:51:38
Rafif Fawwaz,5,memudahkan saya untuk belanja secara online,2025-04-06 07:51:36
Muhammad Pratama,5,Sangat bagus,2025-04-06 07:51:28
sahid ali,5,sangat membantu,2025-04-06 07:51:12
Kayla Az-Zahra,5,barang nya selalu sesuai dan nggak ribet kalo mau keluar,2025-04-06 07:49:58
Alya Nuralyana,5,"bagus tapi berat bangett, ngeleg² kdang sampe keluar sendirii",2025-04-06 07:49:43
Novi Anggriawan,4,seneng belanja di shoppe barang2 bgus dan sesuai,2025-04-06 07:49:09
Anthon Nyo,1,belanja di Shopee aja,2025-04-06 07:48:04
A Fauzi,5,"ya ,shopee nya ,da bagus cepat respon ,cuman masih ada penjual yg gak amanah ,",2025-04-06 07:47:18
neysa zefani,5,"bagus banget,,bisa terpercaya tapi kalo beli hape ga tau🥰",2025-04-06 07:47:17
Muhammad Rio友,5,alhamdulillah Belanja di Shopee sll memuaskan,2025-04-06 07:45:47
Denputra7,5,sangat bagus,2025-04-06 07:43:06
Khanza Humairo,5,ok,2025-04-06 07:42:57
Mr Zul,5,ok 👍,2025-04-06 07:38:37
Utama wan,5,selama ini shopee telah bertindak profesional sebagai marketplace terpercaya,2025-04-06 07:38:11
Anto Risdianto,5,"bisa belanja online sesuai kantong,bebas memilih n tanpa keluar kan tenaga,buang waktu n keluarin uang bensin barang di anterin tepat waktu , shopee bintang 5 buat mu 😁😁😁",2025-04-06 07:37:40
Hesti Ekawati Hesti,5,bagus,2025-04-06 07:36:40
Umar Aba,4,Dengan adanya shopee sangan membatu? tapi sayang kadang ada barang yg g sesuai dengan gambar yg diposting? harap diperbaiki lagi? trs toko toko klu jual lan tu yg amanah? klu barang g sesuai gambar harap g usah dikirim?,2025-04-06 07:34:26
Isti Irawati,5,♥️,2025-04-06 07:34:15
Danis Panca guna,2,"padahal pesanan saya dah sampai dc terdekat dari alamat saya malah paketnya balik lagi ke dc kota penjual, kok bisa kayak gini padahal perlunya hari ini estimasi tibanya tanggal 5 tanggal 6 malah balik paketny.",2025-04-06 07:33:11
Rangga Ramadhan,1,masa lagi pesen barang malah di batalin sama pihak shopee nya mau beli lagi barang nya jadi mahal gak jelas banget tiba tiba di batalin,2025-04-06 07:32:51
"Muhamad Reza Frawavy Rahayaan, SH",5,terbaik...,2025-04-06 07:32:08
Alfrian Sihotang,1,check,2025-04-06 07:28:20
Leni Maharani,1,AKUN SAYA DI NONAKTIFKAN COD GITU AJA CUMAN KARENA SAYA TOLAK PAKET DOMPET YANG JELAS² PENGIRIMAN UDAH TELAT DARI 3 HARI KAGA DI KIRIM² SAMA TOKO ALHASIL. SAYA BELI DITOKO LAIN. OWNER KAGA AMANAH AJA DILINDUNGI GILIRAN COUSTUMER ADA MASALAH KAGA ADA RESPON,2025-04-06 07:28:14
Waryuti,5,barang datang sesuai dg pesanan,2025-04-06 07:27:06
Nurul Widayah,5,"alhamdulillah saya beli selalu COD kebanyakan lancar, tapi ada juga yg kembali, mungkin karena hujan atau lain hal sehingga lewat watu tiba. sebenarnya mesti lewat saya tdk minta vocer kok Shopee baik 👍👍👍",2025-04-06 07:27:06
Zhafira Adeeva,5,ok,2025-04-06 07:24:36
Tri Haryanto,5,Shopee memberikan layanan yg baik,2025-04-06 07:24:20
Muhammad Japar,5,sangat puas menggunakan shopee,2025-04-06 07:24:08
Mandipaya Mahdi,3,masih butuh banyak bunos,2025-04-06 07:23:40
Kholifah123,2,tolong iklan nya jangan banyak banyak,2025-04-06 07:22:46
Putut Santosa,5,sangat membantu,2025-04-06 07:21:33
Tamia anggraini,5,kak saat saya mau buka beranda belanjaan tapi kenapa ada muncul halaman tidak tersedia & ada bacaan memuat ulang si jd kesel,2025-04-06 07:20:37
Ada Roger,5,bagus bisa buat beli² barang / makanan,2025-04-06 07:18:05
Singgih Widagdo,5,Jooos,2025-04-06 07:16:52
Ragil,5,trims shopee,2025-04-06 07:14:11
Vanes Valentino,5,suka,2025-04-06 07:13:19
Anisa Novianti,5,aplikasi terlopelope,2025-04-06 07:10:48
Abang Mika,5,mantap jos,2025-04-06 07:08:40
ficks muhammad (Ficks),4,good seller,2025-04-06 07:07:31
Yesi Laura Sosibong,3,"sebenarnya bagus sih, tapi saya beri bintang 3 karena sudah 2 kali pesan barang, barangnya nggak nyampe"", dikembalikan ke penjual, padahal katanya ada garansi tepat waktu, mana udh nunggu lama lagi 😔 tapi barangnya aja nggak datang sama sekali malah di kembalikan ke penjual.",2025-04-06 07:07:15
Yani nandira,5,suka Co di Shopee,2025-04-06 07:06:10
Kahil farid Al fauzi (Farid al fauzi),5,saya suka aplikasi ini,2025-04-06 07:05:06
Raffasya virendra Adinata,5,biarlah bintang yang menjawab,2025-04-06 07:02:37
abdul muit,5,mantap jiwa,2025-04-06 07:01:55
Nani Naniaja,5,kwalitas barang dari shapi lebih bagus dari yg laen,2025-04-06 07:00:26
Yosi Yosi,4,aplikasi ckp bagus tolong banyakin gratis ongkir nya 😂,2025-04-06 06:58:55
Enda Pusvita Warra,5,"senang belanja di Shopee, tinggal pilih chek out, nunggu bang kurir ngantar barang, cuma kelemahannya barang yang di pajang orang toko tidak sesuai dengan yang dikirim.",2025-04-06 06:58:45
Nadien Cynk,5,𝘼𝙥𝙥 𝙞𝙣𝙞 𝙨𝙚𝙗𝙚𝙣𝙖𝙧𝙣𝙮𝙖 𝙎𝙖𝙣𝙜𝙖𝙩 𝙢𝙚𝙢𝙗𝙖𝙣𝙩𝙪 𝙘𝙪𝙢𝙖 𝙥𝙖𝙨 𝙖𝙙𝙖 𝙥𝙚𝙧𝙗𝙖𝙞𝙠𝙖𝙣 𝙤𝙧𝙖𝙣𝙜2 𝙥𝙚𝙩𝙪𝙜𝙖𝙨 𝘼𝙥𝙡𝙞𝙠𝙖𝙨𝙞 𝙢𝙖𝙡𝙞𝙣𝙜 𝙨𝙚𝙢𝙪𝙖 𝙣𝙚𝙡𝙛𝙤𝙣 𝙗𝙞𝙡𝙖𝙣𝙜 𝙖𝙙𝙖 𝙥𝙚𝙧𝙗𝙖𝙞𝙠𝙖𝙣 𝙠𝙖𝙧𝙣𝙖 𝙥𝙚𝙡𝙖𝙣𝙜𝙜𝙖𝙧𝙖𝙣 𝙙𝙞 𝙠𝙚𝙣𝙖𝙠𝙖𝙣 𝙗𝙞𝙖𝙮𝙖 245000 𝙩𝙖𝙥𝙞 𝙪𝙖𝙣𝙜 𝙖𝙠𝙖𝙣 𝙙𝙞 𝙠𝙚𝙢𝙗𝙖𝙡𝙞𝙠𝙖𝙣 𝙨𝙚𝙜𝙚𝙧𝙖 𝙩𝙖𝙥𝙞 𝙠𝙚𝙣𝙖𝙥𝙖 𝙨𝙖𝙢𝙥𝙖𝙞 𝙨𝙚𝙠𝙖𝙧𝙖𝙣𝙜 𝙜𝙖𝙠 𝙙𝙞 𝙠𝙚𝙢𝙗𝙖𝙡𝙞𝙠𝙖𝙣 𝙙𝙖𝙨𝙖𝙧 𝙢𝙖𝙡𝙞𝙣𝙜,2025-04-06 06:58:07
Warbani 26,5,selama ini respon baik,2025-04-06 06:57:23
Alif Fikrul,1,"keranjang ngebug, pas mau buka barang yang udah aku kasih ke keranjang malah gak bisa dan harus ke menu utama dulu, perbaikin dong",2025-04-06 06:56:39
Ny_obay Risda,1,"pilihan expedisi nya hanya berpaku di SPX, kembalikan apk shopee ke mode awal bebas memilih ekspedisi dan tidak ribet . yasudah lah auto hapus APK nya. see u shopee",2025-04-06 06:55:07
Ahmad Japram,1,Prasaan aku bayar ga pernah telat justru bayar lebih awal tpi knapa mslah sbaliknya pengajuan selalu di tolak udah gitu limitnya kecil lagi,2025-04-06 06:54:29
Christofel habel,4,Baik,2025-04-06 06:52:42
Joko Susilo,5,pengguna baru,2025-04-06 06:52:19
Baidawi,4,lumayan,2025-04-06 06:51:28
pravita richie,5,bagus sangat membantu...di daerah saya ga ada helm seharga 80.000,2025-04-06 06:51:16
Alfianrizqi Ananta,5,aplikasinya sangat lambat pengirimanya ditunda melulu sampai 4 april sampai 6 april palingan ape semingu paket nya datng nya sawal nya suda 6 hari paket nya belum dateng juga ap sekarang,2025-04-06 06:50:14
Rifky Ramadhan Kuswandi,5,bagus,2025-04-06 06:49:58
Mantovani Vani,5,pembelian di Shopee lebih mudah dari yg lainnya,2025-04-06 06:49:34
Nofan Hariono,5,shoope is the best 👍,2025-04-06 06:48:11
Syadam Akbar,5,sangat puas,2025-04-06 06:48:09
Ronny Ronny rudy bintukan,5,aplikasinya mantap banget,2025-04-06 06:44:51
